Protocol;Environment;ParallelClients;TimeSlot;BytesPayload;BytesPayload;BytesPayload;BytesPayload;BytesPayload;BytesPayload;BytesPayload;BytesPayload;CpuClientBefore;CpuClientBefore;CpuClientBefore;CpuClientBefore;CpuClientBefore;CpuClientBefore;CpuClientBefore;CpuClientBefore;CpuClientAfter;CpuClientAfter;CpuClientAfter;CpuClientAfter;CpuClientAfter;CpuClientAfter;CpuClientAfter;CpuClientAfter;CpuClientWhile;CpuClientWhile;CpuClientWhile;CpuClientWhile;CpuClientWhile;CpuClientWhile;CpuClientWhile;CpuClientWhile;CpuServerBefore;CpuServerBefore;CpuServerBefore;CpuServerBefore;CpuServerBefore;CpuServerBefore;CpuServerBefore;CpuServerBefore;CpuServerAfter;CpuServerAfter;CpuServerAfter;CpuServerAfter;CpuServerAfter;CpuServerAfter;CpuServerAfter;CpuServerAfter;CpuServerWhile;CpuServerWhile;CpuServerWhile;CpuServerWhile;CpuServerWhile;CpuServerWhile;CpuServerWhile;CpuServerWhile;RamClientBefore;RamClientBefore;RamClientBefore;RamClientBefore;RamClientBefore;RamClientBefore;RamClientBefore;RamClientBefore;RamClientAfter;RamClientAfter;RamClientAfter;RamClientAfter;RamClientAfter;RamClientAfter;RamClientAfter;RamClientAfter;RamClientWhile;RamClientWhile;RamClientWhile;RamClientWhile;RamClientWhile;RamClientWhile;RamClientWhile;RamClientWhile;RamServerBefore;RamServerBefore;RamServerBefore;RamServerBefore;RamServerBefore;RamServerBefore;RamServerBefore;RamServerBefore;RamServerAfter;RamServerAfter;RamServerAfter;RamServerAfter;RamServerAfter;RamServerAfter;RamServerAfter;RamServerAfter;RamServerWhile;RamServerWhile;RamServerWhile;RamServerWhile;RamServerWhile;RamServerWhile;RamServerWhile;RamServerWhile;LostPackets;LostPackets;LostPackets;LostPackets;LostPackets;LostPackets;LostPackets;LostPackets;ThroughputMbps;ThroughputMbps;ThroughputMbps;ThroughputMbps;ThroughputMbps;ThroughputMbps;ThroughputMbps;ThroughputMbps;BytesSentTotal;BytesSentTotal;BytesSentTotal;BytesSentTotal;BytesSentTotal;BytesSentTotal;BytesSentTotal;BytesSentTotal;BandwidthEfficiency;BandwidthEfficiency;BandwidthEfficiency;BandwidthEfficiency;BandwidthEfficiency;BandwidthEfficiency;BandwidthEfficiency;BandwidthEfficiency;ConnectionDuration;ConnectionDuration;ConnectionDuration;ConnectionDuration;ConnectionDuration;ConnectionDuration;ConnectionDuration;ConnectionDuration;TransferDuration;TransferDuration;TransferDuration;TransferDuration;TransferDuration;TransferDuration;TransferDuration;TransferDuration
;;;;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max;count;mean;std;min;25%;50%;75%;max
http3;local;1;afternoon;25.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;25.0;4.62;2.81;1.25;2.64;3.66;5.67;13.35;25.0;4.07;2.83;0.98;2.15;2.85;5.39;11.43;25.0;10.67;5.79;3.08;4.72;11.28;15.5;22.74;25.0;4.39;2.75;1.56;2.34;3.61;5.57;13.39;25.0;4.71;3.05;0.88;2.73;4.16;5.13;11.81;25.0;17.59;8.26;3.86;9.08;21.78;23.65;27.39;25.0;29096849735.68;266217657.2;28252139520.0;29106761728.0;29194653696.0;29256941568.0;29305761792.0;25.0;29176523325.44;209079472.89;28575739904.0;29182169088.0;29251768320.0;29291819008.0;29333438464.0;25.0;29084588277.76;263519076.65;28239638528.0;29083811840.0;29181714432.0;29242466304.0;29295980544.0;25.0;29077511700.48;262288754.54;28254941184.0;29069697024.0;29201752064.0;29228634112.0;29282050048.0;25.0;29202396938.24;225086575.61;28566994944.0;29211316224.0;29246619648.0;29337948160.0;29430530048.0;25.0;29108611973.12;249863865.72;28336943104.0;29077344256.0;29179310080.0;29265915904.0;29342015488.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;549.34;128.05;138.76;499.54;624.43;624.43;832.57;25.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;25.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;25.0;5.64;2.68;4.0;5.0;5.0;6.0;18.0;25.0;5.08;2.81;3.0;4.0;4.0;5.0;18.0
http3;local;1;evening;25.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;25.0;7.84;3.98;3.52;5.47;6.39;10.06;21.39;25.0;7.31;4.15;2.6;4.39;6.82;9.47;18.58;25.0;15.58;6.27;5.04;11.07;14.51;18.8;26.37;25.0;8.51;6.28;3.41;5.18;6.74;9.5;34.57;25.0;7.46;3.46;2.25;4.79;6.03;9.66;14.5;25.0;22.65;3.17;12.99;21.13;22.27;24.12;28.91;25.0;34639692431.36;687229713.01;33920102400.0;34015453184.0;34246103040.0;35441582080.0;35643482112.0;25.0;34695063470.08;716457398.34;33926619136.0;34053505024.0;34255269888.0;35505442816.0;35673948160.0;25.0;34602605936.64;711706934.89;33892331520.0;33959714816.0;34166157312.0;35401322496.0;35609214976.0;25.0;34601811640.32;702392138.25;33864765440.0;33974276096.0;34222018560.0;35384700928.0;35596541952.0;25.0;34715289845.76;728752975.71;33987854336.0;34049519616.0;34259763200.0;35539976192.0;35719483392.0;25.0;34628581949.44;711296723.23;33918328832.0;34007572480.0;34158489600.0;35412271104.0;35656286208.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;482.89;33.99;416.29;499.54;499.54;499.54;499.54;25.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;25.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;25.0;5.88;0.33;5.0;6.0;6.0;6.0;6.0;25.0;5.2;0.41;5.0;5.0;5.0;5.0;6.0
http3;local;1;morning;25.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;25.0;3.19;2.9;0.69;1.76;2.26;3.22;14.13;25.0;3.45;3.08;1.18;1.86;2.45;3.84;16.11;25.0;5.23;4.23;1.46;2.64;3.4;5.69;18.36;25.0;4.23;3.0;0.98;1.89;3.04;5.46;11.24;25.0;3.48;2.72;0.8;1.76;2.7;3.91;12.4;25.0;9.06;6.1;3.33;4.61;6.64;13.92;24.95;25.0;23859230801.92;286283672.32;23100948480.0;23773097984.0;23883866112.0;24025415680.0;24353165312.0;25.0;23925239644.16;276654064.04;23111233536.0;23823122432.0;23926538240.0;24090628096.0;24292519936.0;25.0;23849276211.2;278542155.34;23152902144.0;23750213632.0;23841206272.0;23995629568.0;24397639680.0;25.0;23863975444.48;288741121.73;23140364288.0;23793119232.0;23887425536.0;23992508416.0;24482263040.0;25.0;23956644495.36;283095062.43;23158304768.0;23836504064.0;23970365440.0;24130052096.0;24375750656.0;25.0;23858167644.16;277861327.16;23158468608.0;23760519168.0;23857004544.0;24010584064.0;24398540800.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;431.71;162.21;20.81;312.21;416.29;499.54;832.57;25.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;25.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;25.0;11.32;22.93;4.0;6.0;6.0;9.0;121.0;25.0;10.68;22.86;3.0;5.0;6.0;8.0;120.0
http3;local;1;night;25.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;25.0;6.59;2.43;2.64;5.24;6.22;7.54;11.85;25.0;7.21;4.18;2.06;4.05;6.04;9.08;19.61;25.0;10.64;4.07;2.7;8.5;9.8;12.1;21.66;25.0;6.6;3.24;1.46;4.18;5.95;8.69;13.29;25.0;7.92;4.3;2.93;4.79;7.77;9.86;22.95;25.0;15.55;7.99;4.2;8.39;14.36;23.56;27.06;25.0;40151715512.32;364932576.71;39280816128.0;40001605632.0;40081842176.0;40265003008.0;40909398016.0;25.0;40258051440.64;336685561.45;39578546176.0;40103583744.0;40203198464.0;40360951808.0;40966832128.0;25.0;40136397783.04;355406668.66;39302901760.0;39984312320.0;40056107008.0;40260419584.0;40891105280.0;25.0;40144461987.84;362830071.6;39281557504.0;39968821248.0;40067158016.0;40259928064.0;40902193152.0;25.0;40278473768.96;329687422.4;39576592384.0;40111828992.0;40223404032.0;40371290112.0;40993992704.0;25.0;40153746309.12;345980131.34;39394516992.0;40007393280.0;40090267648.0;40265768960.0;40866836480.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;517.86;85.89;249.77;499.54;499.54;624.43;624.43;25.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;25.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;25.0;5.84;1.31;5.0;5.0;6.0;6.0;11.0;25.0;5.0;1.19;4.0;4.0;5.0;5.0;10.0
http3;local;5;afternoon;15.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;15.0;5.0;1.99;2.11;3.12;4.79;7.23;7.6;15.0;7.1;2.95;4.1;4.44;6.25;8.75;12.52;15.0;24.86;2.77;21.68;22.24;24.49;26.17;30.47;15.0;7.68;1.73;4.69;6.59;7.82;8.69;10.69;15.0;8.78;3.78;3.42;4.88;9.18;11.18;16.89;15.0;27.36;4.35;21.74;22.67;27.24;31.29;33.69;15.0;29646783556.27;256351558.01;29320785920.0;29331732480.0;29683712000.0;29927006208.0;29933178880.0;15.0;29837157717.33;174578424.55;29647806464.0;29650167808.0;29802999808.0;30046093312.0;30069649408.0;15.0;29604613597.87;283968053.0;29390200832.0;29399900160.0;29432131584.0;29991256064.0;29993304064.0;15.0;29603737600.0;258452557.72;29298974720.0;29334161408.0;29570068480.0;29918228480.0;29929635840.0;15.0;29878801476.27;181037373.09;29694906368.0;29694930944.0;29838008320.0;30064621568.0;30142312448.0;15.0;29635409237.33;179434345.81;29471330304.0;29484488704.0;29542461440.0;29870084096.0;29887582208.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;143.12;4.22;138.76;138.76;146.92;146.92;146.92;15.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;15.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;15.0;18.33;0.49;18.0;18.0;18.0;19.0;19.0;15.0;17.47;0.52;17.0;17.0;17.0;18.0;18.0
http3;local;5;evening;15.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;15.0;12.63;3.02;8.28;9.51;12.99;15.87;16.31;15.0;11.22;4.52;4.1;5.62;13.73;14.41;15.43;15.0;28.73;6.01;19.92;21.89;30.8;34.11;35.21;15.0;11.01;6.02;5.08;5.6;8.6;17.81;20.72;15.0;11.48;4.58;4.39;7.56;11.37;14.57;18.58;15.0;26.34;4.31;21.19;23.33;25.0;31.79;32.13;15.0;33997504512.0;49418313.48;33922867200.0;33940738048.0;34014375936.0;34044946432.0;34045849600.0;15.0;34017457766.4;95625396.11;33919053824.0;33949925376.0;33950306304.0;34144718848.0;34144956416.0;15.0;34022771370.67;51169164.4;33953529856.0;33957410816.0;34040832000.0;34068072448.0;34079879168.0;15.0;33995277926.4;74354509.07;33893122048.0;33894649856.0;34040983552.0;34047125504.0;34058031104.0;15.0;34035465420.8;80997360.44;33944707072.0;33945931776.0;34024767488.0;34136059904.0;34136125440.0;15.0;34065705642.67;46456626.3;33996238848.0;34007232512.0;34092896256.0;34099972096.0;34106609664.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;133.89;3.56;131.46;131.46;131.46;138.76;138.76;15.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;15.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;15.0;19.27;0.46;19.0;19.0;19.0;19.5;20.0;15.0;18.67;0.49;18.0;18.0;19.0;19.0;19.0
http3;local;5;morning;15.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;15.0;3.22;1.4;1.96;2.2;2.44;4.53;5.74;15.0;2.1;0.36;1.76;1.82;1.95;2.5;2.73;15.0;18.07;1.76;14.19;16.97;17.97;19.25;21.25;15.0;4.16;2.88;1.54;2.09;2.36;7.66;8.56;15.0;3.48;1.72;1.38;2.06;3.47;4.26;7.29;15.0;22.38;1.83;19.69;21.07;21.78;24.57;24.9;15.0;24253890013.87;60711927.3;24184983552.0;24186912768.0;24249626624.0;24325320704.0;24333078528.0;15.0;24313882487.47;79708390.82;24241139712.0;24256923648.0;24272871424.0;24420993024.0;24421916672.0;15.0;24306695918.93;64552490.89;24226070528.0;24239669248.0;24300179456.0;24377667584.0;24395587584.0;15.0;24232566510.93;55378002.93;24167067648.0;24168521728.0;24232316928.0;24292292608.0;24311422976.0;15.0;24395292125.87;111238758.77;24266514432.0;24266571776.0;24391806976.0;24529518592.0;24529592320.0;15.0;24340347016.53;52878645.11;24292610048.0;24299040768.0;24310755328.0;24401768448.0;24434008064.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;178.41;0.0;178.41;178.41;178.41;178.41;178.41;15.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;15.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;15.0;14.87;0.35;14.0;15.0;15.0;15.0;15.0;15.0;14.0;0.0;14.0;14.0;14.0;14.0;14.0
http3;local;5;night;15.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;15.0;4.78;0.76;3.81;4.3;4.57;5.26;6.64;15.0;5.42;1.15;3.87;4.29;5.29;6.59;6.83;15.0;21.33;2.63;16.11;19.45;21.19;23.48;25.15;15.0;4.68;1.92;2.25;3.14;4.2;6.2;7.89;15.0;9.21;3.58;5.27;7.45;7.99;9.77;17.67;15.0;24.14;1.4;21.68;23.35;24.2;25.31;25.98;15.0;40645825058.13;226391578.46;40380035072.0;40381784064.0;40640311296.0;40907427840.0;40939081728.0;15.0;40470887082.67;139555265.2;40341172224.0;40368084992.0;40392200192.0;40650332160.0;40673366016.0;15.0;40701758668.8;231340504.42;40444456960.0;40459712512.0;40656420864.0;40988239872.0;41007222784.0;15.0;40627112072.53;236761405.35;40355573760.0;40389890048.0;40587538432.0;40917530624.0;40938590208.0;15.0;40495439872.0;150025635.42;40337661952.0;40339091456.0;40460189696.0;40686245888.0;40690495488.0;15.0;40761792375.47;230722125.13;40511270912.0;40521928704.0;40712454144.0;41047891968.0;41065000960.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;151.36;15.22;131.46;131.46;156.11;166.51;166.51;15.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;15.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;15.0;17.47;1.19;16.0;17.0;17.0;19.0;19.0;15.0;16.67;1.76;15.0;15.0;16.0;19.0;19.0
http3;local;10;afternoon;30.0;312214163.0;0.0;312214163.0;312214163.0;312214163.0;312214163.0;312214163.0;30.0;8.02;2.64;4.45;4.91;8.3;10.79;11.58;30.0;10.8;2.7;7.44;7.89;10.81;13.35;15.32;30.0;23.57;2.94;19.17;21.01;23.97;25.22;29.98;30.0;11.24;3.19;7.42;8.72;9.91;13.16;19.69;30.0;17.75;6.2;8.44;11.96;17.1;23.64;28.09;30.0;27.55;2.05;22.07;26.12;28.63;29.0;29.59;30.0;29678445909.33;42188142.45;29628981248.0;29641450496.0;29664966656.0;29728744448.0;29744885760.0;30.0;29955819246.93;283125961.34;29660418048.0;29741665280.0;29811800064.0;30319171584.0;30360862720.0;30.0;29772765730.13;24613517.62;29735972864.0;29752502272.0;29772322816.0;29786834944.0;29820203008.0;30.0;29682966664.53;28791829.36;29637275648.0;29662610432.0;29681494016.0;29703336960.0;29734916096.0;30.0;30043035238.4;307287325.67;29748056064.0;29758475264.0;29910962176.0;30437174272.0;30480875520.0;30.0;29810742749.87;32331415.19;29759967232.0;29780790272.0;29814267904.0;29836789760.0;29867835392.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;74.91;2.07;71.36;73.46;75.69;75.69;78.05;30.0;313357583.0;0.0;313357583.0;313357583.0;313357583.0;313357583.0;313357583.0;30.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;30.0;34.3;0.75;33.0;34.0;34.0;35.0;35.0;30.0;33.37;0.93;32.0;33.0;33.0;34.0;35.0
