;ParallelClients;TransferEnd;BytesPayload;CpuClientBefore;CpuClientAfter;CpuClientWhile;CpuServerBefore;CpuServerAfter;CpuServerWhile;RamClientBefore;RamClientAfter;RamClientWhile;RamServerBefore;RamServerAfter;RamServerWhile;LostPackets;ThroughputMbps;BytesSentTotal;BandwidthEfficiency;ConnectionDuration;TransferDuration;HandshakeTime
ParallelClients;1.0;0.028000448594115993;;0.5439589678970829;0.5362830068309712;0.3848653895657585;0.6125047083147821;0.6197382863740595;0.3684703561001049;0.015580240216350088;0.03641255113199056;0.0293416573111757;0.09119360177426242;0.13402024101796278;0.11034527697504466;;-0.5946348023792534;0.036426690562636845;-0.036426690562636845;0.5958885653917839;0.5946348023792534;-0.22824171913533228
TransferEnd;0.028000448594115993;1.0;;0.20011621441488162;0.19856116198304027;0.14584602670805097;0.158238312382054;0.1348139558477021;0.15667128855357573;-0.18632604891953577;-0.18598113902936322;-0.1841569520271627;-0.012712538125058891;-0.02560587637615281;-0.005678748931138427;;-0.08663373014183275;0.04299651483887706;-0.04299651483887706;0.08819094752139267;0.08663373014183275;0.0263831864392697
BytesPayload;;;;;;;;;;;;;;;;;;;;;;
CpuClientBefore;0.5439589678970829;0.20011621441488162;;1.0;0.5359669314978941;0.3919961505218682;0.821715265646979;0.37064621146670507;0.23475236593457224;0.19861533199396214;0.19601651627818936;0.200881165346742;0.2890607792827676;0.29124543076862014;0.29901226733109454;;-0.5515111470641616;0.3537150065087879;-0.3537150065087879;0.5508554508531406;0.5515111470641616;-0.14266825452022927
CpuClientAfter;0.5362830068309712;0.19856116198304027;;0.5359669314978941;1.0;0.40683420320122277;0.4945963994909919;0.7132539125840676;0.30346784109312963;0.19698084165213864;0.21642570718944035;0.19182981010327674;0.249284529811374;0.27619542416062814;0.24974142617291528;;-0.45785687385727064;0.3322034275114635;-0.3322034275114635;0.45578759554977705;0.45785687385727064;-0.08848027855874128
CpuClientWhile;0.3848653895657585;0.14584602670805097;;0.3919961505218682;0.40683420320122277;1.0;0.29420240006279436;0.287699897354306;0.6012587863252421;0.08853212325120678;0.10504955641864354;0.108999107046989;0.5611889866965308;0.5851319454193711;0.5749174844698188;;-0.11913307704427405;0.023226087991463164;-0.023226087991463164;0.11413007159425326;0.11913307704427405;0.09582564564729779
CpuServerBefore;0.6125047083147821;0.158238312382054;;0.821715265646979;0.4945963994909919;0.29420240006279436;1.0;0.43460727397491833;0.23981870315048975;0.10872809430981516;0.10533081669311312;0.10781669838453897;0.16253372018533485;0.1734913076371138;0.17074211305930703;;-0.6418054462103938;0.3957297614549529;-0.3957297614549529;0.6419863923899815;0.6418054462103938;-0.25943778549125684
CpuServerAfter;0.6197382863740595;0.1348139558477021;;0.37064621146670507;0.7132539125840676;0.287699897354306;0.43460727397491833;1.0;0.3028998994361905;0.07625564045021345;0.10560535513529365;0.07693147099102532;0.08866823867177862;0.12897756672188482;0.0930316233065887;;-0.46830030991076277;0.2585524543120758;-0.2585524543120758;0.464685417048396;0.46830030991076277;-0.11402994572690617
CpuServerWhile;0.3684703561001049;0.15667128855357573;;0.23475236593457224;0.30346784109312963;0.6012587863252421;0.23981870315048975;0.3028998994361905;1.0;0.058190229161251446;0.08433529597950296;0.07773244585720472;0.35939974052290496;0.3960934125636475;0.3754243896864424;;-0.1835203177418272;0.1384479624728298;-0.1384479624728298;0.1772304912217551;0.1835203177418272;-0.115220504680737
RamClientBefore;0.015580240216350088;-0.18632604891953577;;0.19861533199396214;0.19698084165213864;0.08853212325120678;0.10872809430981516;0.07625564045021345;0.058190229161251446;1.0;0.9868764396518552;0.9969558417458156;0.2840283063590294;0.2787246591301761;0.29113369538427525;;-0.022360921708981733;-0.014305945471675456;0.014305945471675456;0.02460991951983474;0.022360921708981733;0.10491160459895306
RamClientAfter;0.03641255113199056;-0.18598113902936322;;0.19601651627818936;0.21642570718944035;0.10504955641864354;0.10533081669311312;0.10560535513529365;0.08433529597950296;0.9868764396518552;1.0;0.98731256000602;0.27564087792939507;0.28600528371554795;0.28517160051142826;;-0.01960557412392854;-0.024577376610261655;0.024577376610261655;0.02193725231761187;0.01960557412392854;0.11320668394668017
RamClientWhile;0.0293416573111757;-0.1841569520271627;;0.200881165346742;0.19182981010327674;0.108999107046989;0.10781669838453897;0.07693147099102532;0.07773244585720472;0.9969558417458156;0.98731256000602;1.0;0.2911896578687422;0.28936694438708604;0.30203036780518777;;-0.010222929075750764;-0.044715588786870826;0.044715588786870826;0.012287469012543947;0.010222929075750764;0.11491201569473647
RamServerBefore;0.09119360177426242;-0.012712538125058891;;0.2890607792827676;0.249284529811374;0.5611889866965308;0.16253372018533485;0.08866823867177862;0.35939974052290496;0.2840283063590294;0.27564087792939507;0.2911896578687422;1.0;0.9866219850538387;0.9935133423033563;;0.005965557292453354;0.12127110354077532;-0.12127110354077532;-0.01222971220390081;-0.005965557292453354;0.14444408579872026
RamServerAfter;0.13402024101796278;-0.02560587637615281;;0.29124543076862014;0.27619542416062814;0.5851319454193711;0.1734913076371138;0.12897756672188482;0.3960934125636475;0.2787246591301761;0.28600528371554795;0.28936694438708604;0.9866219850538387;1.0;0.9824169628044964;;-0.0044206247398608164;0.11885879548602246;-0.11885879548602246;-0.002090864728037916;0.0044206247398608164;0.13985686483441467
